household,lat,long,Strain,wt90,wt120,wt150,wt180,sex,country
EAA2001,8.977765,38.666525,Koekoek,665.910931174089,1063.07692307692,1316.8700265252,1804.05594405594,Female,Ethiopia
EAA2001,8.977765,38.666525,Koekoek,743.684210526316,1068,1198,1328,Male,Ethiopia
EAA2002,8.97571166666667,38.6699033333333,Horro,431.818181818182,964.727272727273,1115,1140,Male,Ethiopia
EAA2002,8.97571166666667,38.6699033333333,Horro,393.333333333333,685.714285714286,942.857142857143,1310.34482758621,Female,Ethiopia
EAA2003,8.97399,38.6714583333333,S-RIR ,833.333333333333,1131.86813186813,1126.15955473098,993.970315398887,Male,Ethiopia
EAA2003,8.97399,38.6714583333333,S-RIR ,788.461538461538,1000,1000,1550,Female,Ethiopia
EAA2004,8.76590166666667,38.998965,Koekoek,513.345095271701,957.692307692308,1498.6013986014,1641.53846153846,Female,Ethiopia
EAA2004,8.76590166666667,38.998965,Koekoek,528.165137614679,1084.375,2178.125,3271.875,Male,Ethiopia
EAA2005,8.97803833333333,38.6675316666667,Koekoek,220.833333333333,1009.72222222222,1773.61111111111,2537.5,Male,Ethiopia
EAA2005,8.97803833333333,38.6675316666667,Koekoek,521.284403669725,983.59375,1456.25,1581.25,Female,Ethiopia
EAA2006,8.97503166666667,38.6669083333333,Koekoek,689.802631578947,1102.5,1283.75,1465,Male,Ethiopia
EAA2006,8.97503166666667,38.6669083333333,Koekoek,626.315789473684,983.529411764706,1359.43204868154,1696.79144385027,Female,Ethiopia
EAA2007,8.97642166666667,38.6702916666667,Horro,365.384615384615,1018.85714285714,1270,1220,Male,Ethiopia
EAA2007,8.97642166666667,38.6702916666667,Horro,365.865384615385,786.666666666667,1075,1047.41379310345,Female,Ethiopia
EAA2008,8.975885,38.6709633333333,S-RIR ,707.070707070707,1000,1519.23076923077,2384.61538461538,Male,Ethiopia
EAA2008,8.975885,38.6709633333333,S-RIR ,736.679292929293,865.934065934066,1475.27472527473,1684.52380952381,Female,Ethiopia
EAA2009,8.97918333333333,38.67059,Koekoek,728.947368421053,1280,1830,2380,Male,Ethiopia
EAA2010,8.97485166666667,38.671145,S-RIR ,714.285714285714,1008.33333333333,1029.62962962963,918.518518518518,Male,Ethiopia
EAA2010,8.97485166666667,38.671145,S-RIR ,736.274509803922,868.518518518518,985.185185185185,1357.14285714286,Female,Ethiopia
EAA2011,8.977215,38.6685133333333,Horro,396.153846153846,673.333333333333,933.333333333333,1129.31034482759,Female,Ethiopia
EAA2011,8.977215,38.6685133333333,Horro,366.863905325444,760,1000,1000,Male,Ethiopia
EAA2012,8.97547166666667,38.670195,Horro,400,586.666666666667,1066.66666666667,1733.33333333333,Male,Ethiopia
EAA2012,8.97547166666667,38.670195,Horro,382.222222222222,582,900,1362.06896551724,Female,Ethiopia
