household lat long Strain wt90 wt120 wt150 wt180 country
EAA2001 8.977765 38.666525 Koekoek 743.684210526316 1068 1198 1328 Ethiopia
EAA2002 8.97571166666667 38.6699033333333 Horro 431.818181818182 964.727272727273 1115 1140 Ethiopia
EAA2003 8.97399 38.6714583333333 S-RIR  833.333333333333 1131.86813186813 1126.15955473098 993.970315398887 Ethiopia
EAA2004 8.76590166666667 38.998965 Koekoek 528.165137614679 1084.375 2178.125 3271.875 Ethiopia
EAA2005 8.97803833333333 38.6675316666667 Koekoek 220.833333333333 1009.72222222222 1773.61111111111 2537.5 Ethiopia
EAA2006 8.97503166666667 38.6669083333333 Koekoek 689.802631578947 1102.5 1283.75 1465 Ethiopia
EAA2007 8.97642166666667 38.6702916666667 Horro 365.384615384615 1018.85714285714 1270 1220 Ethiopia
EAA2008 8.975885 38.6709633333333 S-RIR  707.070707070707 1000 1519.23076923077 2384.61538461538 Ethiopia
EAA2009 8.97918333333333 38.67059 Koekoek 728.947368421053 1280 1830 2380 Ethiopia
EAA2010 8.97485166666667 38.671145 S-RIR  714.285714285714 1008.33333333333 1029.62962962963 918.518518518518 Ethiopia
EAA2011 8.977215 38.6685133333333 Horro 366.863905325444 760 1000 1000 Ethiopia
EAA2012 8.97547166666667 38.670195 Horro 400 586.666666666667 1066.66666666667 1733.33333333333 Ethiopia
EAA2013 8.97420833333333 38.67145 S-RIR  707.070707070707 1017.04545454545 1257.65306122449 1362.88265306122 Ethiopia
EAA2014 8.97806 38.6675283333333 Koekoek 679.605263157895 1077.5 1227.5 1377.5 Ethiopia
EAA2015 8.76598 38.9990833333333 Koekoek 453.125 995.3125 2198.4375 3401.5625 Ethiopia
EAA2017 8.97438166666667 38.668215 Koekoek 640.131578947368 1145 1407.5 1670 Ethiopia
EAA2018 8.97428 38.67044 Horro 333.333333333333 808 1150 1400 Ethiopia
EAA2019 8.974725 38.6707716666667 S-RIR  843.75 892.857142857143 1461.53846153846 2230.76923076923 Ethiopia
EAA2020 8.97598833333333 38.670885 Koekoek 597.02380952381 1075 2158.33333333333 3241.66666666667 Ethiopia
EAA2021 8.97709666666667 38.66711 Koekoek 654.970760233918 1064.44444444444 1208.88888888889 1353.33333333333 Ethiopia
EAA2022 8.97597 38.6710283333333 S-RIR  850 851.851851851852 1346.15384615385 1923.07692307692 Ethiopia
EAA2023 8.97609666666667 38.67118 S-RIR  714.285714285714 1144.23076923077 1308.64197530864 1401.23456790123 Ethiopia
EAA2024 8.97433333333333 38.6708 S-RIR  810 1064.81481481481 1222.22222222222 1388.88888888889 Ethiopia
EAA2025 8.97452 38.6710366666667 Koekoek 781.25 1018.75 1706.25 2393.75 Ethiopia
EAA2026 8.976505 38.6670683333333 Koekoek 322.222222222222 1004.16666666667 1823.61111111111 2643.05555555556 Ethiopia
EAA2028 8.97827 38.6673416666667 Koekoek 152.727272727273 940 1940 2940 Ethiopia
EAA2030 8.97781 38.6654416666667 Koekoek 696.172248803828 1003.63636363636 1085.45454545455 1167.27272727273 Ethiopia
EAA2031 8.97540833333333 38.6708266666667 Horro 297.619047619048 552 840 1240 Ethiopia
EAA2035 8.97642 38.667835 Koekoek 747.80701754386 1038.33333333333 1171.66666666667 1305 Ethiopia
EAA2041 9.00483666666667 38.6669 S-RIR  754.358974358974 1424.15384615385 1358 1291.84615384615 Ethiopia
EAA2048 9.000235 38.669135 S-RIR  847.115384615385 1243.07692307692 1520 1796.92307692308 Ethiopia
EAA2050 9.004655 38.666 S-RIR  810 1294.66666666667 1441.33333333333 1588 Ethiopia
EAA2057 8.99893333333333 38.6663566666667 S-RIR  911.075 1355 2105 2855 Ethiopia
EAA2065 9.003175 38.6665666666667 S-RIR  840.512820512821 1435.5 2290.5 3145.5 Ethiopia
EAA2066 8.99982166666667 38.668935 S-RIR  785 1190 1490 1790 Ethiopia
EAA2081 9.01919833333333 38.665535 Koekoek 766.666666666667 1096.1038961039 1453.67965367965 1505.62770562771 Ethiopia
EAA2082 9.00963333333333 38.6651283333333 S-RIR  848.484848484848 1631.11111111111 2060 2488.88888888889 Ethiopia
EAA2083 9.01879666666667 38.6663766666667 S-RIR  1017.94871794872 1233.33333333333 1933.33333333333 2633.33333333333 Ethiopia
EAA2084 9.01873166666667 38.6660783333333 Koekoek 973.701298701299 1061.36363636364 1149.02597402597 1236.68831168831 Ethiopia
EAA2085 9.01634166666667 38.6671966666667 Horro 325.714285714286 382.857142857143 947.826086956522 1730.4347826087 Ethiopia
EAA2086 9.01819 38.666655 Horro 600 1113.63636363636 1500 1886.36363636364 Ethiopia
EAA2087 9.01549666666667 38.66664 Horro 328.571428571429 752.482269503546 1190.78014184397 1629.0780141844 Ethiopia
EAA2089 9.01469166666667 38.6666033333333 Koekoek 916.785714285714 1227.5 1538.21428571429 1848.92857142857 Ethiopia
EAA2092 9.01878666666667 38.6660283333333 S-RIR  965.178571428571 1640.42553191489 1946.27659574468 2357.24637681159 Ethiopia
EAA2093 9.01966166666667 38.6668383333333 Koekoek 1027.03296703297 1521.70212765957 1845.10638297872 2168.51063829787 Ethiopia
EAA2095 9.01641333333333 38.6672383333333 S-RIR  873.076923076923 1784.19452887538 1852.58358662614 1920.9726443769 Ethiopia
EAA2096 9.01592 38.6672733333333 Koekoek 429.868938401049 804.807692307692 1088.33333333333 1450.83333333333 Ethiopia
EAA2098 9.01625 38.6663383333333 Koekoek 700 1134.43223443223 1763.55311355311 2392.67399267399 Ethiopia
EAA2099 9.017215 38.6674366666667 Horro 790.178571428571 829.787234042553 989.36170212766 1311.11111111111 Ethiopia
EAA2100 9.014865 38.66617 Koekoek 890.510204081633 1279.28571428571 1668.0612244898 2056.83673469388 Ethiopia
EAA2101 9.01845666666667 38.6663533333333 S-RIR  965.873015873016 1644.44444444444 1977.77777777778 2311.11111111111 Ethiopia
EAA2102 9.01529333333333 38.666085 Koekoek 888.869047619048 1287.08333333333 1685.29761904762 2083.5119047619 Ethiopia
EAA2103 9.01991166666667 38.6665533333333 S-RIR  1041.86507936508 1489.58333333333 1833.33333333333 2177.08333333333 Ethiopia
EAA2104 9.01489333333333 38.6656366666667 Koekoek 891.558441558441 1222.72727272727 1553.8961038961 1885.06493506494 Ethiopia
EAA2106 9.019675 38.665825 Koekoek 663.636363636364 1172.61904761905 1976.19047619048 2779.7619047619 Ethiopia
EAA2108 9.01773 38.667035 Koekoek 670 1148.4126984127 1892.46031746032 2636.50793650794 Ethiopia
EAA2109 9.01467 38.6659283333333 Koekoek 884.285714285714 1270 1655.71428571429 2041.42857142857 Ethiopia
EAA2110 9.01780166666667 38.6672983333333 S-RIR  708.333333333333 1301.13636363636 2000 2698.86363636364 Ethiopia
EAA2112 9.01762666666667 38.66715 Horro 272.761904761905 408.602150537634 1666.66666666667 2924.7311827957 Ethiopia
EAA2114 9.01727833333333 38.668855 Koekoek 760 1133.24675324675 1803.37662337662 2473.50649350649 Ethiopia
EAA2116 9.014555 38.6658133333333 Koekoek 896.938775510204 1264.28571428571 1631.63265306122 1998.97959183673 Ethiopia
EAA2117 9.01622666666667 38.6678783333333 Koekoek 878.625541125541 1227.65151515152 1576.67748917749 1925.70346320346 Ethiopia
EAA2118 9.01970166666667 38.6668016666667 Horro 328.571428571429 900 900 900 Ethiopia
EAA2119 9.01936833333333 38.66635 Horro 331.868131868132 1008.51063829787 1125.53191489362 1242.55319148936 Ethiopia
EAA2120 9.02007 38.6666816666667 Koekoek 683.333333333333 1176.19047619048 1961.90476190476 2747.61904761905 Ethiopia
EAA2122 8.94074833333333 38.730635 Kuroiler 6323.07692307692 4938.46153846154 3553.84615384615 2169.23076923077 Ethiopia
EAA2125 8.94211833333333 38.730385 Koekoek 792.307692307692 1150 1796.55172413793 3141.37931034483 Ethiopia
EAA2126 8.94184 38.7295766666667 Kuroiler 2750 2437.5 2125 1812.5 Ethiopia
EAA2127 8.94216666666667 38.7324466666667 S-RIR  662.698412698413 1200 1792.30769230769 2484.61538461538 Ethiopia
EAA2128 8.94216166666667 38.731805 Koekoek 611.111111111111 1210.14492753623 1408.48806366048 1559.68169761273 Ethiopia
EAA2129 8.946395 38.7290766666667 S-RIR  680 1000 1689.65517241379 2724.13793103448 Ethiopia
EAA2132 8.94621166666667 38.7302633333333 Horro 666.666666666667 666.666666666667 1267.67676767677 1286.66666666667 Ethiopia
EAA2137 8.94259833333333 38.7278883333333 Koekoek 580 1075 1751.72413793103 2579.31034482759 Ethiopia
EAA2145 8.94104833333333 38.73066 Horro 333.333333333333 333.333333333333 540.14598540146 905.109489051095 Ethiopia
EAA2148 8.93733333333333 38.7217566666667 Horro 285.140186915888 666.666666666667 1000 1000 Ethiopia
EAA2160 8.94153166666667 38.7297166666667 S-RIR  920 1072.91666666667 1728.44827586207 2633.62068965517 Ethiopia
EAA2165 8.94613833333333 38.7131933333333 Koekoek 535.555555555556 987.936507936508 2060.9756097561 2674.1935483871 Ethiopia
EAA2166 8.93608666666667 38.7164333333333 S-RIR  5062.85714285714 988.25 1781.14478114478 2589.22558922559 Ethiopia
EAA2167 8.93566666666667 38.71821 S-RIR  374.880952380952 987.666666666667 1682.35294117647 2360 Ethiopia
EAA2168 8.9407 38.71763 S-RIR  484.714285714286 1009.4375 1579.41176470588 1395.55555555556 Ethiopia
EAA2169 8.93673333333333 38.717475 S-RIR  450.714285714286 1003.16666666667 1575.81699346405 2380.95238095238 Ethiopia
EAA2170 8.93205833333333 38.714115 Horro 340 504.081632653061 506.162464985994 917.391304347826 Ethiopia
EAA2171 8.93165333333333 38.7152083333333 Horro 623.333333333333 492.857142857143 500 963.768115942029 Ethiopia
EAA2172 8.935415 38.7164183333333 Koekoek 557.874762808349 715.686274509804 733.584131326949 702.80437756498 Ethiopia
EAA2173 8.93159 38.7149716666667 Horro 360 490.47619047619 829.545454545455 1170.45454545455 Ethiopia
EAA2174 8.94372166666667 38.7265166666667 Horro 396.5 490.833333333333 884.469696969697 1282.19696969697 Ethiopia
EAA2178 8.935095 38.7162733333333 Koekoek 478.448275862069 575.431034482759 672.413793103448 750 Ethiopia
EAA2179 8.93607 38.7177266666667 Horro 536.050156739812 677.41935483871 766.666666666667 857.575757575758 Ethiopia
EAA2182 8.93673333333333 38.7173383333333 Horro 532.258064516129 706.896551724138 758.620689655172 1000 Ethiopia
EAA2183 8.941855 38.71811 Koekoek 366.111111111111 988.333333333333 2060.9756097561 2711.14369501466 Ethiopia
EAA2184 8.94170333333333 38.718015 Koekoek 388.518518518519 988.783068783069 2060.9756097561 2649.30875576037 Ethiopia
EAA2185 8.93614166666667 38.716885 S-RIR  444.642857142857 985 1545.88235294118 2354.66666666667 Ethiopia
EAA2188 8.93985333333333 38.7189333333333 Koekoek 118.095238095238 973.650793650794 2008.94308943089 2637.94162826421 Ethiopia
EAA2189 8.94235 38.7171133333333 Koekoek 586.666666666667 940.47619047619 2134.75609756098 2646.77419354839 Ethiopia
EAA2190 8.93500333333333 38.7165066666667 Koekoek 566.129032258065 660.344827586207 737.931034482759 500 Ethiopia
EAA2191 8.93252333333333 38.7136666666667 Koekoek 558.064516129032 620.689655172414 775.862068965517 900 Ethiopia
EAA2192 8.93360166666667 38.7130816666667 Koekoek 473.630831643002 504.056795131846 534.48275862069 558.823529411765 Ethiopia
EAA2193 8.93527333333333 38.7158516666667 S-RIR  444.642857142857 985 1648.23529411765 2332 Ethiopia
EAA2194 8.93312333333333 38.7155316666667 Koekoek 555.555555555556 563.218390804598 620.689655172414 888.888888888889 Ethiopia
EAA2196 8.93529833333333 38.7159916666667 Koekoek 550 553.448275862069 579.310344827586 1900 Ethiopia
EAA2198 8.93346333333333 38.7133883333333 S-RIR  442.142857142857 986.25 2000.78431372549 2728 Ethiopia
EAA2199 8.94257166666667 38.7171916666667 Koekoek 640 987.142857142857 2060.9756097561 3158.53658536585 Ethiopia
EAA2200 8.93654833333333 38.7180683333333 S-RIR  396.666666666667 986.333333333333 1790.90909090909 2609.09090909091 Ethiopia
EAA2202 8.92075666666667 38.7145466666667 S-RIR  1643.13725490196 1966.66666666667 1764.28571428571 1978.57142857143 Ethiopia
EAA2203 8.91252166666667 38.7075516666667 S-RIR  1141.77777777778 1788.44444444444 1987.41071428571 1845.44642857143 Ethiopia
EAA2208 8.91203 38.707015 Koekoek 1158.7619047619 1824.47619047619 1997.77400169924 2123.68734069669 Ethiopia
EAA2209 8.91197833333333 38.70621 S-RIR  1159.59183673469 1606.5306122449 2052.00471698113 2036.08490566038 Ethiopia
EAA2210 8.91650833333333 38.7108416666667 Koekoek 1136.7619047619 1262.47619047619 2000 2000 Ethiopia
EAA2211 8.91253833333333 38.70571 S-RIR  931.968253968254 1696.73015873016 2026.75675675676 2164.59459459459 Ethiopia
EAA2214 8.91403 38.7096533333333 Koekoek 1363.8961038961 1979.48051948052 2143.82139148494 2252.85565939772 Ethiopia
EAA2216 8.91644166666667 38.7102033333333 Koekoek 1161.42857142857 1247.14285714286 2009.24528301887 2006.41509433962 Ethiopia
EAA2222 8.91130333333333 38.707325 S-RIR  1047.14285714286 1775.71428571429 1633.64485981308 1745.79439252336 Ethiopia
EAA2224 8.913905 38.708405 Koekoek 1358.65546218487 1930.9243697479 2113.29179646937 2231.67185877466 Ethiopia
EAA2226 8.913305 38.7081933333333 Horro 670.714285714286 763.571428571429 1093.58490566038 1294.52830188679 Ethiopia
EAA2227 8.91779666666667 38.708965 Koekoek 944.395604395604 1623.51648351648 2040.17857142857 2174.10714285714 Ethiopia
EAA2228 8.91451666666667 38.7083066666667 Horro 619.428571428571 765.142857142857 959.598214285714 1408.25892857143 Ethiopia
